sentence_id,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
29,"[-0.012025648728013, 0.1070412788540124, -0.0952637512236833, -0.0897855591028928, 0.3548803031444549, -0.01268170773983, 0.0067213233560323, 0.0181549284607172]","[0.0116851346278847, 0.1056799416087191, -0.0428018135987121, 0.0213218762351747, 0.2047686336789018, 0.0116851346278847, -0.1305237276738383, -0.2544412740497861]",0.5501929311925068,0.5872165058362048,0.37254147740583465
30,"[0.2400598675012588, 0.2586662471294403, -0.1047192886471748, -0.0416089296340942, -0.0205698683857917]","[0.0281386754148679, 0.2809153353354821, 0.1240442919353119, 0.0004851848226955, 0.1579413103842133]",0.49133654936524873,0.3141689827147961,0.4442948288741462
31,"[0.0796161470934748, 0.0146907130256295, 0.292089014314115, 0.1083706961944699, -0.0190807059407234, -0.0874397568404674, -0.1662664962932467, -0.0508430832996964]","[0.0558156815134162, 0.0786513895975549, 0.1606418675202828, 0.0126245046830899, 0.0194857198445393, 0.0185854031724295, -0.0619030978568157, 0.4533093549176862]",0.2098002871308767,0.1492453681876135,0.3088592015829892
32,"[0.0536757037043571, 0.1242866292595863, 0.0507238507270813]","[-0.0216676931548147, 0.0752637989579643, 0.3117536467264127]",0.516544504721115,-0.26919788225974034,0.4433042890678652
33,"[-0.0104344300925731, -0.0241541936993598, -0.2379774963483214, 0.0245117032900452, -0.0376786869019269]","[-0.0386018635728675, 0.0400766842366139, 0.0203191678251906, 0.0304199013634393, 0.6882718734580154]",-0.1815831672838509,0.093151342091072,0.49441708627224923
34,"[0.1984722837805748, 0.0711256191134452, 0.0647897347807884, -0.0408788546919822, 0.0853346018120646, 0.1517504537478089, 0.1481512226164341, -0.1205491423606872, -0.0177228152751922, 0.0014366209506988]","[0.0793630482828009, 0.0381060791631953, 0.1611710125080931, 0.0249180903741991, 0.1252644806114768, 0.0462639263828374, 0.0720311875464388, 0.0568704088299454, 0.0242702967959011, 0.0008752444432337]",0.5778429482807567,0.34130115316882703,0.3003750859797844
35,"[-0.025002297013998, -0.0153195969760417, -0.1401498187333345, 0.0684485044330358, -0.0933692269027233]","[0.0009886929396791, 0.0423168339786949, -0.1519542018523633, 0.0885546872468119, -0.0656507162015784]",0.9260560423762726,0.9733264177836958,0.05681255287865507
36,"[0.0462217442691326, -0.0281852595508098, 0.0840779189020395, 0.0152351912111043, -0.1064184010028839, 0.1816238239407539, 0.0608505234122276]","[-0.0343592708666241, -0.0045515745863882, 0.0317586885760543, -0.0033903757288257, -0.061417531088889, 0.2470411834150509, -0.1664197590515451]",0.5713282444301551,0.6178779911841362,0.3114070263377491
37,"[-0.0257301516830921, -0.0241025406867265, -0.2207597037777304, 0.083687481470406, 0.0011575445532798, -0.0429742932319641, -0.0057886647991836, -0.0056871599517762, 0.0068683261051774]","[0.0002599869797578, -0.0169151210695473, -0.245224995530559, 0.0839826521820302, 0.0420773558046604, 0.0445042344951577, -0.0022641029581266, 0.0586229540911389, 0.0599121071500221]",0.8803807812619153,0.939832300987493,0.04417719412484187
38,"[0.1241841143928468, -0.0435328087769448, -0.0240304106846451, -0.1145005552098155, -0.066606639418751, -0.2071450012736022, -0.0229336265474557]","[0.0294448680416099, 0.0259415478880177, -0.0028332817532663, -0.0023156037197805, -0.0820451198626206, 0.0013992056152632, 0.0317313032155841]",0.2699082220009275,0.3099494775530727,0.3261985128513626
39,"[-0.0875432454049587, 0.1782475672662258, -0.2384804598987102, 0.2437472827732563, -0.0039859488606452]","[0.0167551868185147, 0.0887406711925457, -0.1891107431610965, 0.1115732597141782, -0.2036015817925796]",0.7085731398969333,0.7632407600102353,0.2889054279551362
40,"[0.2758058793842792, 0.1725987233221531, -0.0430569630116224, -0.0159751866012811, 0.0373031944036483]","[0.1419626557172333, 0.3146878601319385, 0.0896337765805903, 0.1719841425401017, 0.0155754320342786]",0.6672598891252064,0.41374595211477233,0.36995267941566146
41,"[0.352931696921587, -0.0297979153692722, -0.0919810757040977, -0.0009956583380699]","[0.167889223064465, 0.1765799980416614, 0.2840548411136249, 0.1797895885350681]",0.18222013684260868,-0.5700938879228983,0.46437293054789724
42,"[0.0639453418552875, 0.0640736259520053, -0.0146613419055938, 0.0099466517567634, 0.4483179058879614, -0.0268623493611812, -0.0366009217686951, -0.1496721529401838, 0.0039059938862919]","[-0.0015819324674797, 0.0142921043624182, -0.1048731771437725, 0.1384187612477321, 0.5298864705496328, -0.0203472759883907, 0.1476551119132146, 0.1623694336266906, -0.0564724970145701]",0.7272045412060769,0.7107591179110841,0.33178004661280636
43,"[-0.0367015115916729, -0.0441747345030307, -0.0456404509022831, -0.1388499801978469, -0.0144705884158611]","[-0.0323083529583152, 0.1321443156755178, -0.0019475324455357, 0.2186712980321123, 0.2729594825393773]",-0.6568702565369015,-0.22948434232435755,0.49055836658334384
44,"[0.0863036625087261, 0.1016363408416509, -0.0890641463920474, -0.1246914295479655, 0.4765267632901668, 0.0454045832157135]","[-0.0340779064487413, 0.0156087275051328, 0.0015352952896157, -0.04404491949615, 0.7032333663826508, -0.0225951486005198]",0.9209507332467588,0.9087242132344234,0.32175633000643
45,"[-0.017293450422585, -0.033040109090507, -0.0713478410616517, 0.0092968279495835, 0.022610031068325, -0.0317914560437202, -0.0018208902329206, -0.0379250198602676, -0.0215175170451402]","[0.0033395868648009, 0.0285161005484408, 0.0718125896063692, 0.1039269871027686, 0.1284802565404484, 0.0128985728808906, -0.0174254107266773, -0.0266461988642011, 0.0170874623443248]",-0.10665406113252301,0.37686829356891427,0.3606369774410731
46,"[-0.006402232684195, -0.0296678682789206, -0.0962112452834844, 0.0248802360147237, 0.0475305304862558, -0.0484641366638243, 0.0273730102926492, -0.0821001660078764, -0.0506486957892775, 0.0283217662945389, -0.0095180440694093]","[-0.0152143436057852, 0.0577476699165254, -0.0096249656437214, 0.0986050805138951, 0.0342380679996116, 0.0132729124784118, -0.0008442793546317, -0.0071926434681947, -0.1061283273101994, 0.048862915000078, 0.2130795975849967]",0.18240497567325617,0.36107657574655316,0.2787406719364819
47,"[0.1536611653864383, -0.28629807010293, 0.0140042742714285, -0.0173443844541907, 0.0519217401742935]","[0.1452505747781589, -0.1973444444481766, -0.0113627827636384, 0.0746358299441506, 0.1169628153300723]",0.8977081950964274,0.9467052955625723,0.06105206311166519
48,"[-0.0612447410821914, -0.0265295691788196, 0.0049926526844501, -0.0747818350791931, 0.1545283868908882, -0.0814150646328926, 0.0185934156179428]","[-0.1024387470400001, 0.0372438864947947, 0.0901032023954449, -0.108356270000612, 0.2868308336499588, -0.0123197249539012, -0.0078817169863646]",0.863199808583714,0.9146051767953294,0.2396397237314857
49,"[-0.046913294121623, -0.0200053881853818, -0.1276024561375379, -0.0352123323827981, -0.0277504585683345]","[0.0154342614766465, 0.1345268426142374, -0.0694449509651408, -0.1049113922783297, 0.0647238428131899]",0.25943416144169434,0.5529215857249108,0.33710173092294116
